#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,river,"A dynamic tiling wayland compositor."
,xorg-xwayland,"Run X clients under wayland."
,wlr-randr,"Utility to manage outputs of a Wayland compositor."
,swaybg,"Wallpaper tool for Wayland compositors."
,kanshi,"Dynamic output configuration for Wayland WMs."
,swaylock,"Screen locker for Wayland."
,swayidle,"Idle management daemon for Wayland."
,waybar,"Highly customizable Wayland bar for Sway and Wlroots based compositors."
,foot,"Fast, lightweight, and minimalistic Wayland terminal emulator."
,libnotify,"Library for sending desktop notifications."
,mako,"Lightweight notification daemon for Wayland."
,grim,"Screenshot utility for Wayland."
,slurp,"Select a region in a Wayland compositor."
,swappy,"A Wayland native snapshot editing tool."
,xdg-desktop-portal-gtk,"A backend implementation for xdg-desktop-portal using GTK."
,xdg-desktop-portal-wlr,"xdg-desktop-portal backend for wlroots."
A,hyprpicker,"A wlroots-compatible Wayland color picker."
A,tofi,"Tiny rofi / dmenu replacement for wlroots-based Wayland compositors."
,j4-dmenu-desktop,"Find .desktop files and offer you a menu to start an application using dmenu."
,wl-clipboard,"Command-line copy/paste utilities for Wayland."
,bemenu-wayland,"Dynamic menu library and client program inspired by dmenu."
,nwg-look,"GTK3 settings editor adapted to work on wlroots-based compositors."
A,wlopm,"Wayland output power management."
,pipewire,"Low-latency audio/video router and processor."
,pipewire-pulse,"Low-latency audio/video router and processor - PulseAudio replacement."
,pavucontrol,"PulseAudio Volume Control."
,bluez,"Daemons for the bluetooth protocol stack."
,bluez-utils,"Development and debugging utilities for the bluetooth protocol stack."
,blueman,"GTK+ Bluetooth Manager."
,noto-fonts,"Google Noto TTF fonts."
,noto-fonts-cjk,"Google Noto CJK fonts."
,noto-fonts-emoji,"Google Noto emoji fonts."
,ttf-dejavu,"Font family based on the Bitstream Vera Fonts with a wider range of characters."
,ttf-jetbrains-mono,"Typeface for developers, by JetBrains."
,ttf-jetbrains-mono-nerd,"Patched font JetBrains Mono from nerd fonts library."
,ttf-nerd-fonts-symbols,"High number of extra glyphs from popular 'iconic fonts'."
,papirus-icon-theme,"Icon theme based on Papirus."
,polkit,"Application development toolkit for controlling system-wide privileges."
,polkit-gnome,"Legacy polkit authentication agent."
,brightnessctl,"Lightweight brightness control tool."
,gvfs,"Virtual filesystem implementation for GIO."
,xdg-user-dirs,"Manage user directories like ~/Desktop and ~/Music."
,networkmanager,"Network connection manager and user applications."
A,networkmanager-dmenu,"Control NetworkManager via dmenu."
,network-manager-applet,"Applet for managing network connections."
,xarchiver,"GTK+ frontend to various command line archivers."
,zip,"Compressor/archiver for creating and modifying zipfiles."
,gtk4,"GObject-based multi-platform GUI toolkit."
,galculator,"GTK+ based scientific calculator."
,imagemagick,"An image viewing/manipulation program."
,jq,"Command-line JSON processor."
,fastfetch,"An actively maintained, feature-rich, and performance-oriented system information tool."
,qt5-wayland,"Provides APIs for Wayland."
,qt6-wayland,"Provides APIs for Wayland."
,adw-gtk-theme,"Unofficial GTK 3 port of the libadwaita theme."
,gnome-themes-extra,"Extra Themes for GNOME Applications."
,neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs."
,wget,"Network utility to retrieve files from the Web."
,unzip,"For extracting and viewing files in .zip archives."
,eza,"A modern replacement for ls."
,fzf,"Command-line fuzzy finder."
,ripgrep,"A search tool that combines the usability of ag with the raw speed of grep."
,bat,"Cat clone with syntax highlighting and git integration."
,zoxide,"A smarter cd command for your terminal."
,wtype,"xdotool type for wayland."
A,lswt,"List Wayland toplevels."
A,oh-my-posh-bin,"A prompt theme engine for any shell."
,wf-recorder,"Screen recorder for wlroots-based compositors such as sway."
,chafa,"Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc."
,htop,"Interactive process viewer."
,btop,"A monitor of system resources, bpytop ported to C++."
,lm_sensors,"Collection of user space tools for general SMBus access and hardware monitoring."
,thunar,"Modern, fast and easy-to-use file manager for Xfce."
,thunar-volman,"Automatic management of removable drives and media for Thunar."
,lf,"A terminal file manager inspired by ranger."
,cliphist,"Wayland clipboard manager."
,mpv,"A free, open source, and cross-platform media player."
,tumbler,"Thumbnail service implementing the thumbnail management D-Bus specification."
,zathura,"Minimalistic document viewer."
,zathura-pdf-poppler,"Adds pdf support to zathura by using the poppler engine."
,imv,"Image viewer for Wayland and X11."
A,brave-bin,"Web browser that blocks ads and trackers by default."
